month,renewable,fossil
1,11119.836982148872,11088.750421017177
2,12325.263976305072,9595.05812661977
3,12790.464045698925,8412.8125
4,11508.456506610995,8588.045233124565
5,11253.614194416414,9271.171543895056
6,10641.539076068078,10748.065300451546
7,9734.041358439812,12014.893409549428
8,9207.719758064517,10902.300067204302
9,8927.863146926016,11156.395623480375
10,9053.711499663752,11497.84599865501
11,9523.506949270326,12948.60041695622
12,9728.717215870882,11188.21923335575
