energy,price
24683.0,42.91
24147.0,42.15
24030.0,42.73
24561.0,45.02
27025.0,50.41
31518.0,66.58
34642.0,78.3
35662.0,85.84
36343.0,89.11
36335.0,85.59
35955.0,78.55
35583.0,71.22
34322.0,61.29
33777.0,59.4
33460.0,66.69
33784.0,71.61
35633.0,82.21
36821.0,84.46
36669.0,82.09
36015.0,76.0
33847.0,68.82
31243.0,58.81
28889.0,50.65
26782.0,47.98
25083.0,46.67
24086.0,46.66
23651.0,45.48
23539.0,46.52
24025.0,47.61
25467.0,51.97
27120.0,58.88
29980.0,68.81
32225.0,73.52
32480.0,73.67
31863.0,71.88
31659.0,68.06
30894.0,58.83
29725.0,51.47
29039.0,51.0
29191.0,55.19
31620.0,72.1
33274.0,75.99
33865.0,74.0
33741.0,70.78
32324.0,57.88
30056.0,53.7
27371.0,54.28
25227.0,50.61
23430.0,44.42
22446.0,41.89
21973.0,40.46
21986.0,41.77
22350.0,42.1
23099.0,45.21
23805.0,47.87
25933.0,53.03
28482.0,56.4
29913.0,64.8
30285.0,62.38
30892.0,66.25
30854.0,66.2
29506.0,60.23
28894.0,59.38
28926.0,58.14
31281.0,69.59
32810.0,74.81
33710.0,74.28
33891.0,73.59
32608.0,68.64
29850.0,59.72
26865.0,54.84
24650.0,49.19
23305.0,46.43
22776.0,42.18
22671.0,40.08
23397.0,44.03
26513.0,50.25
31460.0,61.48
35444.0,69.97
36987.0,77.42
38207.0,79.88
38341.0,79.56
38052.0,74.48
37891.0,69.32
36560.0,63.24
36103.0,63.06
35867.0,68.6
36229.0,74.64
37941.0,86.83
39304.0,88.95
39262.0,87.94
38082.0,83.12
35179.0,75.57
31618.0,69.89
29025.0,57.6
26475.0,53.55
25087.0,52.35
24620.0,50.3
24505.0,49.46
25188.0,51.79
27866.0,56.08
32945.0,70.93
36474.0,80.62
37711.0,83.78
38505.0,92.88
38499.0,90.6
38172.0,86.02
38132.0,81.19
36846.0,79.26
36287.0,79.15
36333.0,79.79
36890.0,84.12
38856.0,89.84
40232.0,90.69
40207.0,89.56
39208.0,85.41
36258.0,78.73
32569.0,71.82
29411.0,70.53
26868.0,59.37
25391.0,56.97
24810.0,54.04
24694.0,52.15
25268.0,53.32
27986.0,55.91
33028.0,68.61
36643.0,76.21
38079.0,78.3
38761.0,83.04
38655.0,80.02
38110.0,74.73
38036.0,67.08
36868.0,61.83
36479.0,61.84
36441.0,61.8
37061.0,70.91
38758.0,80.27
40081.0,78.82
40122.0,75.67
39146.0,65.81
36267.0,61.64
32864.0,55.47
29755.0,50.5
27137.0,48.08
25675.0,46.15
25103.0,42.91
24952.0,42.11
25540.0,42.31
28176.0,48.23
32969.0,53.17
36207.0,70.72
37521.0,73.93
38344.0,78.61
38054.0,77.13
37706.0,70.98
37513.0,67.09
36419.0,61.68
35785.0,61.59
35761.0,65.0
36254.0,73.58
38080.0,83.65
39702.0,83.57
39722.0,82.46
38886.0,78.29
36062.0,70.61
32725.0,62.33
29746.0,53.63
27253.0,51.21
25770.0,48.45
25198.0,47.03
25081.0,43.58
25679.0,46.46
28213.0,52.28
33070.0,65.64
36531.0,76.4
37807.0,79.97
38312.0,84.61
37823.0,83.52
37202.0,78.96
36773.0,72.31
35443.0,61.96
34752.0,60.84
34582.0,65.34
34756.0,72.57
36572.0,81.1
38329.0,83.19
38333.0,81.51
37708.0,77.05
35332.0,71.83
32693.0,62.47
30040.0,58.78
27485.0,55.81
25763.0,52.97
24786.0,47.79
24358.0,46.26
24273.0,45.91
24822.0,49.59
26229.0,52.15
28031.0,51.86
30993.0,61.01
33327.0,65.95
33373.0,66.22
32671.0,64.49
32544.0,61.74
31782.0,55.08
30494.0,52.73
29801.0,50.31
29777.0,54.34
32048.0,66.75
34127.0,71.35
34630.0,71.07
34494.0,70.56
33050.0,63.13
30715.0,59.27
27877.0,56.05
25569.0,47.86
23794.0,41.52
22965.0,42.01
22428.0,39.03
22526.0,40.91
22939.0,43.87
23750.0,41.6
24337.0,45.71
26224.0,51.62
28381.0,52.07
29101.0,51.07
28831.0,51.36
29011.0,51.25
28869.0,49.62
27849.0,47.64
27188.0,48.31
26878.0,51.88
29363.0,69.2
32239.0,76.85
33571.0,77.7
33845.0,75.83
32749.0,69.17
30011.0,62.28
26853.0,54.33
24631.0,49.56
23303.0,46.26
22989.0,45.91
22879.0,45.64
23750.0,47.58
26802.0,54.67
31982.0,68.6
35629.0,77.38
36969.0,81.32
37516.0,84.56
37201.0,84.81
36577.0,82.36
36237.0,77.45
35058.0,73.74
34575.0,72.68
34395.0,74.44
34829.0,77.9
36507.0,87.45
38622.0,89.51
38869.0,87.6
37993.0,83.04
35187.0,76.03
31608.0,69.71
28656.0,61.14
26315.0,53.05
24984.0,49.9
24506.0,48.46
24470.0,48.21
25118.0,48.75
27748.0,55.1
32686.0,69.94
35981.0,78.22
37036.0,82.25
37421.0,86.75
37040.0,83.62
36320.0,79.33
36104.0,72.54
34932.0,65.72
34498.0,62.27
34266.0,66.77
34499.0,70.83
36045.0,81.34
38335.0,83.97
38718.0,82.01
37819.0,76.81
35153.0,69.68
31746.0,57.36
29096.0,51.88
26815.0,51.88
25396.0,48.32
24739.0,48.02
24587.0,48.28
25236.0,48.11
27861.0,53.35
32646.0,69.71
35927.0,79.78
36959.0,83.04
37228.0,88.92
36794.0,87.13
36039.0,84.35
34343.0,72.19
33886.0,70.66
33621.0,72.33
33837.0,76.22
35740.0,87.45
37937.0,87.97
38240.0,86.66
37183.0,79.06
34487.0,70.92
31304.0,61.2
28577.0,55.27
26313.0,51.07
25016.0,47.79
24408.0,46.8
24295.0,45.79
24870.0,46.15
27423.0,53.17
32153.0,57.26
35154.0,66.74
36073.0,72.99
36481.0,78.95
36216.0,73.35
35852.0,66.42
35873.0,54.68
34750.0,50.6
34345.0,49.53
34270.0,50.62
34695.0,52.6
36210.0,67.77
38037.0,69.53
38090.0,65.31
37247.0,55.79
34593.0,50.33
31448.0,43.36
28858.0,30.58
26636.0,16.79
25401.0,15.93
24727.0,15.76
24566.0,14.7
24991.0,16.82
27327.0,32.22
31748.0,41.28
34549.0,54.92
35625.0,62.44
36120.0,68.75
36200.0,66.39
35845.0,62.27
35785.0,55.18
34533.0,48.06
33900.0,47.37
33609.0,48.77
33987.0,55.14
35326.0,67.39
36795.0,69.55
36331.0,65.98
35407.0,60.29
33421.0,54.74
30783.0,45.04
28724.0,30.14
26851.0,24.91
25022.0,17.23
24140.0,16.1
23748.0,14.27
23734.0,13.85
24183.0,13.48
25325.0,16.37
26867.0,27.33
29396.0,33.73
31862.0,45.28
32130.0,43.23
31592.0,32.53
31584.0,29.67
30788.0,22.62
29436.0,18.95
28691.0,18.5
28705.0,23.93
30555.0,43.11
32787.0,52.36
33309.0,57.46
32984.0,55.32
31484.0,56.16
29537.0,41.49
24298.0,28.02
21881.0,21.3
20495.0,17.45
19730.0,18.24
19500.0,16.85
20113.0,16.59
22153.0,16.61
32383.0,22.55
32358.0,23.56
33955.0,70.15
33851.0,67.61
32324.0,62.39
29866.0,56.55
26687.0,56.65
24609.0,49.27
23347.0,46.53
22836.0,42.25
22833.0,40.87
23665.0,41.88
26861.0,51.44
31940.0,66.5
35395.0,70.96
36738.0,73.16
37638.0,77.89
37733.0,76.34
37491.0,72.25
37419.0,66.45
36417.0,56.81
36008.0,55.43
35839.0,56.44
36047.0,62.63
37111.0,74.35
38943.0,84.34
39042.0,80.79
37941.0,72.41
35104.0,62.82
31650.0,55.41
24402.0,40.96
23007.0,38.45
22192.0,34.03
21722.0,30.66
21804.0,30.59
22627.0,30.28
25334.0,36.38
29383.0,47.92
31951.0,55.67
33325.0,66.52
33781.0,71.59
33672.0,69.44
33590.0,68.88
33224.0,63.37
32019.0,55.77
31275.0,55.61
30718.0,56.07
30570.0,66.85
30646.0,76.0
33367.0,85.73
34373.0,81.22
33375.0,70.96
30865.0,65.74
28152.0,57.31
24449.0,42.65
22718.0,36.99
21561.0,33.95
20899.0,32.94
20602.0,30.88
20472.0,33.12
21161.0,39.73
22317.0,52.29
22741.0,65.29
24632.0,69.68
25861.0,73.5
26351.0,69.06
26253.0,66.45
26118.0,57.02
25402.0,47.06
24307.0,45.08
23776.0,46.93
23464.0,50.78
23242.0,67.96
23417.0,77.22
24934.0,78.16
